City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Leningradskiy,RU,2021-04-04 02:35:11,69.3833,178.4167,-0.69,90,100,7.56,overcast clouds
161,Northam,GB,2021-04-04 02:35:11,51.0333,-4.2167,37.99,1,7,3.6,clear sky
162,Esperance,AU,2021-04-04 02:31:13,-33.8667,121.9,73.4,56,59,16.11,broken clouds
163,Lensk,RU,2021-04-04 02:33:09,60.7253,114.9278,14.5,86,100,7.47,light snow
164,Sibu,MY,2021-04-04 02:35:12,2.3,111.8167,84.2,79,20,2.3,few clouds
165,Merritt Island,US,2021-04-04 02:35:12,28.5392,-80.672,64.4,59,90,3.44,overcast clouds
166,Sahuaripa,MX,2021-04-04 02:35:12,29.05,-109.2333,75.24,11,0,5.01,clear sky
167,Joshimath,IN,2021-04-04 02:35:13,30.5667,79.5667,61.16,18,0,1.57,clear sky
168,Copiapo,CL,2021-04-04 02:35:13,-27.3667,-70.3333,60.8,77,90,4.61,overcast clouds
169,La Ronge,CA,2021-04-04 02:35:13,55.1001,-105.2842,39.2,28,58,1.14,broken clouds
170,Kavaratti,IN,2021-04-04 02:35:14,10.5669,72.642,82.29,66,37,9.26,scattered clouds
171,Flinders,AU,2021-04-04 02:35:14,-34.5833,150.8552,86.0,58,5,3.0,clear sky
172,Quatre Cocos,MU,2021-04-04 02:35:14,-20.2078,57.7625,80.01,89,40,3.44,light rain
173,Nikolskoye,RU,2021-04-04 02:30:48,59.7035,30.7861,34.0,93,0,4.47,clear sky
174,Tambopata,PE,2021-04-04 02:32:00,-12.7333,-69.1833,70.48,99,100,1.07,overcast clouds
175,Jalu,LY,2021-04-04 02:32:01,29.0331,21.5482,65.1,20,39,11.39,scattered clouds
176,Puerto Colombia,CO,2021-04-04 02:35:15,10.9878,-74.9547,78.8,83,40,12.66,fog
177,Sovetskoye,RU,2021-04-04 02:35:15,52.2861,85.4131,28.6,93,47,4.81,scattered clouds
178,Khatanga,RU,2021-04-04 02:35:16,71.9667,102.5,-4.47,82,10,6.55,clear sky
179,Vanavara,RU,2021-04-04 02:35:16,60.34,102.2797,27.16,87,100,8.72,light snow
180,Madang,PG,2021-04-04 02:35:16,-5.2246,145.7966,77.54,90,100,1.28,moderate rain
181,Cidreira,BR,2021-04-04 02:31:24,-30.1811,-50.2056,71.94,77,74,16.44,broken clouds
182,Muros,ES,2021-04-04 02:35:17,42.7762,-9.0603,52.0,60,0,11.59,clear sky
183,Znamensk,RU,2021-04-04 02:35:17,48.5842,45.7338,46.85,85,99,12.41,overcast clouds
184,Tambura,SS,2021-04-04 02:35:18,5.6,27.4667,69.33,46,34,1.61,scattered clouds
185,Maceio,BR,2021-04-04 02:32:27,-9.6658,-35.7353,78.8,89,40,2.3,scattered clouds
186,Sorland,NO,2021-04-04 02:35:18,67.667,12.6934,39.74,93,100,32.01,light rain
187,Nueva Gerona,CU,2021-04-04 02:35:18,21.8833,-82.8,72.88,57,19,23.15,few clouds
188,Prince Rupert,CA,2021-04-04 02:30:57,54.3161,-130.3201,41.0,75,20,10.36,few clouds
